Music Name,Recommended Song 1,Similarity 1,Recommended Song 2,Similarity 2
3631,5837,0.9915620765643257,3499,0.9910667962770023
3632,5093,0.9905488097717371,4715,0.9892311107971985
3633,3618,0.9937519479577133,4006,0.9910592027119157
3634,342,0.9984975759430369,5732,0.9983804367518667
3635,4084,0.9938024568152757,5338,0.9929884069560025
3636,5774,0.9948299155421518,1193,0.9901499693333016
3637,4977,0.9926144553521729,4992,0.9915070311522867
3638,3143,0.9916094578855258,3107,0.9906766973291797
3639,3561,0.997569432988937,3430,0.9938065994101003
364,4010,0.9910275438328205,5096,0.9897163665887079
3640,5127,0.997834361654694,3288,0.9942351714375353
3641,370,0.99512197972056,3428,0.994350240124799
3642,5908,0.993373023430652,5868,0.9919868481554477
3643,399,0.998244622956123,4900,0.998112083852696
3644,3544,0.9955381202448836,3375,0.9909126237462214
3645,1069,0.9846635746186735,5688,0.977917441194293
3646,4973,0.9941197797341069,225,0.9920235913970936
3647,3542,0.9930694859622902,656,0.9915440433437097
3648,3484,0.9983053574714086,3183,0.9969378842122822
3649,5453,0.9958769861232346,3118,0.9909903305247507
365,3422,0.9935571762459305,623,0.9922145061760616
3650,4563,0.9958924376290482,2864,0.9946936509633644
3651,3243,0.989075264796749,588,0.9888662612864636
3652,3937,0.9975815776991113,416,0.9953389618041396
3653,4914,0.9917089402054722,920,0.9895291971879008
3654,687,0.9940019577329996,900,0.9879606028544773
3655,4926,0.9962447590189125,3899,0.9945295752666542
3656,3084,0.9976529727794193,2778,0.9972195797302635
3657,3780,0.9961757533846116,1203,0.9940429317583337
3658,5670,0.9970775468108949,3248,0.9960394259437407
3659,2967,0.9960618012567195,2924,0.9937318689997142
366,3626,0.9919259300034845,148,0.986955670457926
3660,564,0.9970356492368343,522,0.9959166900014128
3661,2940,0.9967345735581516,3936,0.9964644114116872
3662,2956,0.996804566605274,3960,0.9952039087550713
3663,3226,0.9933413496503983,3026,0.9907030613835454
3664,4022,0.9922851182708292,5266,0.9921353525212908
3665,4498,0.997890829683266,233,0.9973492776952475
3666,1812,0.9960430269132751,2873,0.995611855159483
3667,4001,0.9963101596303813,1084,0.9927563126736358
3668,3041,0.9957914972360503,2853,0.9904150992475476
3669,3208,0.9955972165137503,2037,0.9955742123780854
367,371,0.9954211450357509,3949,0.9940090272690888
3670,3002,0.989892932845208,1037,0.9898305023310818
3671,4641,0.9952271925155541,1302,0.9931957650231064
3672,3004,0.9962012213315552,3694,0.9940730884092923
3673,4572,0.9869637600842158,1520,0.986844692526886
3674,1070,0.9935277226257125,182,0.99303453240782
3675,1891,0.9945542831882216,5397,0.9941062314315553
3676,101,0.9910948505377839,4342,0.9907490654749419
3677,12,0.9960298335504467,611,0.9955598350379372
3678,4914,0.9938682422430243,605,0.9903016452986008
3679,416,0.9980974675542175,3858,0.9974680022581829
368,1572,0.9954104058607428,2078,0.9948093361557213
3680,37,0.9929396315522822,60,0.9927385812385792
3681,3973,0.9962598703888783,962,0.9955128433755102
3682,3901,0.9960883244958049,3260,0.9954251795394159
3683,3744,0.9973331246524427,4012,0.9943387694358485
